dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.937970,2.000000,1.938000,1.700000,0.000000,0.000000,0.000000
0.020000,22.971970,2.000000,1.972000,1.700000,0.000000,0.000000,0.000000
0.020000,23.005970,2.000000,2.006000,1.700000,0.000000,0.000000,0.000000
0.020000,23.039970,2.000000,2.040000,1.700000,0.000000,0.000000,0.000000
0.020000,23.073970,2.000000,2.074000,1.700000,0.000000,0.000000,0.000000
0.020000,23.107970,2.000000,2.108000,1.700000,0.000000,0.000000,0.000000
0.020000,23.141970,2.000000,2.142000,1.700000,0.000000,0.000000,0.000000
0.020000,23.175970,2.000000,2.176000,1.700000,0.000000,0.000000,0.000000
0.020000,23.209970,2.000000,2.210000,1.700000,0.000000,0.000000,0.000000
0.020000,23.243970,2.000000,2.244000,1.700000,0.000000,0.000000,0.000000
0.020000,23.277819,2.000000,2.277849,1.684901,-0.754942,-37.747093,0.000000
0.020000,23.311168,2.000000,2.311198,1.650035,-1.743314,-49.418605,0.000000
0.020000,23.343774,2.000000,2.343804,1.610500,-1.976744,-11.671512,0.000000
0.020000,23.375588,2.000000,2.375618,1.570965,-1.976744,-0.000000,0.000000
0.020000,23.406612,2.000000,2.406642,1.531430,-1.976744,0.000000,0.000000
0.020000,23.436846,2.000000,2.436876,1.491895,-1.976744,0.000000,0.000000
0.020000,23.466288,2.000000,2.466318,1.452360,-1.976744,0.000000,0.000000
0.020000,23.494940,2.000000,2.494970,1.412826,-1.976744,-0.000000,0.000000
0.020000,23.522801,2.000000,2.522831,1.373291,-1.976744,0.000000,0.000000
0.020000,23.549872,2.000000,2.549902,1.333756,-1.976744,0.000000,0.000000
0.020000,23.576151,2.000000,2.576181,1.294221,-1.976744,-0.000000,0.000000
0.020000,23.601640,2.000000,2.601670,1.254686,-1.976744,0.000000,0.000000
0.020000,23.626339,2.000000,2.626369,1.215151,-1.976744,0.000000,0.000000
0.020000,23.650247,2.000000,2.650277,1.175616,-1.976744,-0.000000,0.000000
0.020000,23.673363,2.000000,2.673393,1.136081,-1.976744,0.000000,0.000000
0.020000,23.695690,2.000000,2.695720,1.096547,-1.976744,-0.000000,0.000000
0.020000,23.717225,2.000000,2.717255,1.057012,-1.976744,0.000000,0.000000
0.020000,23.737970,2.000000,2.738000,1.017477,-1.976744,0.000000,0.000000
0.020000,23.757924,2.000000,2.757954,0.977942,-1.976744,-0.000000,0.000000
0.020000,23.777088,2.000000,2.777118,0.938407,-1.976744,0.000000,0.000000
0.020000,23.795461,2.000000,2.795491,0.898872,-1.976744,0.000000,0.000000
0.020000,23.813043,2.000000,2.813073,0.859337,-1.976744,-0.000000,0.000000
0.020000,23.829834,2.000000,2.829864,0.819802,-1.976744,0.000000,0.000000
0.020000,23.845835,2.000000,2.845865,0.780267,-1.976744,0.000000,0.000000
0.020000,23.861045,2.000000,2.861075,0.740733,-1.976744,-0.000000,0.000000
0.020000,23.875464,2.000000,2.875494,0.701198,-1.976744,0.000000,0.000000
0.020000,23.889093,2.000000,2.889123,0.661663,-1.976744,0.000000,0.000000
